SOURCE,UNID,Unnamed: 3,COUNTRY,PROVINCE,CITY,LAT,LON,WWTP/MUNICIPALITY,WWTP start up,Reuse project start up,Status of operation for WWTP ,Status of operation for Reuse project (yes/no),Wastewater input type ,WW Treatment Level ,Technology used,Desgin Capacity (m3/yr),Average Capacity (m3/yr),Volume of  WW actually treated (m3/yr),Disposal Category,Name of the water body/valley/wwtp,Amount disposed (m3/yr),Reuse Category,Actual direct reuse (m3/yr),Area of Land Receiving TWW (ha),Scoring classifier,probability classifier,scoring object detection,probability,number of rectangular tanks,number circular tanks,url link
Javier,EG37,Wahaisha  in tukh,Egypt,,Toukh,30.354172,31.246337,WWTP,1999,,Operational ,No,Municipal,Max secondary ,,5840000,5840000,5840000,Surface water,,5840000,,0,0,1,0.999676466,Wastewater-Treatment-Facility,0.631244063,2,6,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG37_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG38,Biltan,Egypt,,Toukh,30.357564,31.170638,WWTP,2012,,Operational ,No,Municipal,Max secondary ,,2920000,1934500,1934500,Surface water,,1934500,,0,0,1,0.999701202,Wastewater-Treatment-Facility,0.798180342,4,0,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG38_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG39,Qaha,Egypt,,Qaha,30.270361,31.186995,WWTP,2004,,Operational ,No,Municipal,Max secondary ,Extended Areation,3650000,1825000,1825000,Surface water,Qalyubiyah,1825000,,0,0,1,0.999032736,Wastewater-Treatment-Facility,0.871910036,1,2,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG39_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG40,Susul extention,Egypt,,Shibin el-Qanater,30.272484,31.343094,WWTP,2002,,Operational ,No,Municipal,Max secondary ,Surface Areation,10950000,7300000,7300000,Surface water,Bilbies,7300000,,0,0,1,0.999160647,Wastewater-Treatment-Facility,0.912733138,9,6,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG40_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG41,Gardens in Qanater,Egypt,,Qanater Al Khayreyah,30.193053,31.126263,WWTP,1997,,Operational ,No,Municipal,Max secondary ,,36500,127750,127750,Surface water,,127750,,0,0,0,0.505354226,,,,,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG41_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG42,Qalyoub and East Qanater,Egypt,,El Qanater El Khayreya,30.183265,31.175931,WWTP,2004,,Operational ,No,Municipal,Max secondary ,Surface Areation,34675000,50735000,50735000,Surface water,Sntabes,50735000,,0,0,1,0.997792244,Wastewater-Treatment-Facility,0.803022027,2,26,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG42_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG43,Sirakus,Egypt,,Al Khankah,30.199546,31.331109,WWTP,2006,,Operational ,No,Municipal,Max secondary ,Extended Areation,3650000,3102500,3102500,Surface water,Bilbies,3102500,,0,0,1,0.545251608,Wastewater-Treatment-Facility,0.79148227,1,2,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG43_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG44,Amyay,Egypt,,Toukh,30.352997,31.136827,WWTP,2015,,Operational ,No,Municipal,Max secondary ,,7300000,3650000,3650000,Surface water,,3650000,,0,0,1,0.997300923,Wastewater-Treatment-Facility,0.747448742,4,0,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG44_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG45,Shubra Shehab,Egypt,, El Qanater El Khayreya,30.275234,31.119099,WWTP,2018,,Operational ,No,Municipal,Max secondary ,,3285000,2920000,2920000,Surface water,,2920000,,0,0,1,0.999183238,Wastewater-Treatment-Facility,0.888590693,2,5,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG45_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG46,Alabyari,Egypt,,Toukh,30.371463,31.255742,Municipality,2019,,Operational ,No,Municipal,Max secondary ,,365000,182500,182500,Surface water,,182500,,0,0,1,0.782819927,,,,,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG46_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
